"amazon link","i.s.b.n.","theatrical debut","title"
"B00067BCB8","0783107315","2001-01-01 02:00:00 +1300","Curb Your Enthusiasm - The Complete Third Season"
"B00096S48K","","1978-06-09 02:00:00 +1200","Damien: Omen 2"
"","","","Danny Bhoy - Live at the Athenaeum"
"","","","Danny Bhoy - Live at the Sydney Opera House"
"","","","Danny Bhoy Live at the Enmore"
"B0010X8NF0","","2007-01-01 02:00:00 +1300","The Darjeeling Limited"
"B001GZ6QC4","","2008-01-01 02:00:00 +1300","The Dark Knight"
"B0002ABURA","1417018143","2004-03-19 02:00:00 +1300","Dawn of the Dead"
"B001SGEUYW","","2008-01-01 02:00:00 +1300","The Day the Earth Stood Still"
"B00029RTAI","1417011033","1993-09-24 02:00:00 +1200","Dazed & Confused"
"B0009298N4","0790762153","1988-09-23 02:00:00 +1200","Dead Ringers"
"B00008RWVI","","1992-01-02 02:00:00 +1300","Death in Brunswick"
"B000GBEWMA","","2005-01-01 02:00:00 +1300","The Death of Mr. Lazarescu"
"B000WB1T8Y","","1975-01-01 02:00:00 +1300","Deep Red / Profondo Rosso"
"B000934FC2","","1991-01-01 02:00:00 +1300","Delicatessen"
"B000NIVJH2","","2006-10-13 03:00:00 +1300","Deliver Us from Evil"
"6305558159","6305558159","1972-07-30 02:00:00 +1200","Deliverance"
"B000M341QE","","2006-10-06 03:00:00 +1300","The Departed"
"B00005JOL4","","2005-11-11 02:00:00 +1300","Derailed"
"B0019BI12S","","2007-01-01 02:00:00 +1300","Dick: The Devil Dared Me To"
"B000O77SRC","","1988-07-15 02:00:00 +1200","Die Hard"
"B000O77SRM","","1990-07-04 02:00:00 +1200","Die Hard 2 - Die Harder"
"B000O78KW4","","1995-05-19 02:00:00 +1200","Die Hard with a Vengeance"
"B00004RE27","0790744554","1982-03-05 02:00:00 +1300","Diner"
"B0000AZT2X","","2003-10-20 03:00:00 +1300","Director's Series, Vol. 1 - The Work of Director Spike Jonze"
"B0000DBJ9I","","2003-10-28 02:00:00 +1300","Director's Series, Vol. 2 - The Work of Director Chris Cunningham"
"B0000DBJ9J","","2003-10-23 03:00:00 +1300","Director's Series, Vol. 3 - The Work of Director Michel Gondry"
"B00018D3LE","","2002-01-01 02:00:00 +1300","Dirty Pretty Things"
"B002TXB2XK","","","Disgrace [DVD]"
"B00005MKKS","0790760959","2001-04-27 02:00:00 +1200","The Dish"
"B002SJIO4A","","2009-01-01 02:00:00 +1300","District 9"
"B0024EWP6W","","1989-01-01 02:00:00 +1300","Do the Right Thing"
"B0009HBPN0","","2004-06-18 02:00:00 +1200","Dodgeball - A True Underdog Story"
"B000053VAF","076785716X","1999-11-12 02:00:00 +1300","Dogma"
"B0007V6IUS","1404977651","2001-01-01 02:00:00 +1300","Dogtown and Z-Boys"
"B0002DB52M","","2003-01-01 02:00:00 +1300","Dogville"
"B00006FMEA","","2001-01-01 02:00:00 +1300","Don't Try This at Home - The Steve-O Video"
"B00005V3Z4","","2001-01-01 02:00:00 +1300","Donnie Darko"
"B0009RCPUC","1404987606","2004-01-01 02:00:00 +1300","Downfall"
"B0002WYS6S","","2004-10-05 03:00:00 +1300","Dream Theater - Live at Budokan"
"B0029F15VW","","2009-01-01 02:00:00 +1300","Dylan Moran - What It Is"
"B000VB4ZSG","","","Dylan Moran: The Live Collection"
"B00003CX9Q","0783270674","1982-01-01 02:00:00 +1300","E.T. - The Extra-Terrestrial"
"B000X418V8","","2007-01-01 02:00:00 +1300","Eagle vs. Shark"
"B000022TSY","0800141784","1969-01-01 02:00:00 +1200","Easy Rider"
"B001DB6J82","","2007-01-01 02:00:00 +1300","Edge of Heaven"
"B00004U8P8","","1990-12-14 02:00:00 +1300","Edward Scissorhands"
